Company Name,Job Title,Location,Country,Job Description,Salary Estimate,Avg Salary,Size,Industry,Sector,Revenue,Rating,Recommend,CEO,Benefits,Opportunities,Comp Benefits,Culture,Management,WorkLife Balance,Pros,Cons,Num Listings,Reviews URL,Benefits URL
"BASF Belgium Coordination Center Comm.V.
4.1",Data Scientist - Gene Discovery (Bioinformatics),Gent,België (Dutch),"We are looking for a proactive, enthusiastic, and innovative Scientist for the 'Gene Discovery' group of BASF Seed and Traits R&D (Research & Development), located in the Innovation Centre, Gent. The Gene Discovery group is part of a modern Trait Research department that focuses on the discovery, design, engineering, and testing of important crop plants and/or microbe traits.
Key responsibilities are the generation and analysis of a diverse suite of cutting-edge 'omics-related data sets to drive the discovery of new lead genes and gene variants for important traits of interest.
RESPONSIBILITIES

The data scientist leads, designs, implements, and oversees data analysis activities within different research programs, providing high quality conclusions in consultation with a Program Leader. You will be an essential member of multi-disciplinary functional teams and actively participate in the entire discovery process through frequent interactions with biologists, biostatisticians, group- and program leads. The successful candidate will also be part of our Data Scientists community within Trait Research, which is dedicated to bioinformatics and data analysis as part of the research pipeline.

What you can expect:









Because we are counting on innovative solutions, on sustainable actions, and on connected thinking. And on you. Become a part of our formula for success and develop the future with us - in a global team that embraces diversity and equal opportunities irrespective of gender, age, origin, sexual orientation, disability or belief.

Please note that we do not return paper applications including folders. Please submit copies only and no original documents.

Please upload the documents, summarized in a PDF if possible.",€ 36K - € 96K (Schatting werkgever),,10000+ werknemers,Chemische industrie,Industrie,Meer dan 10 miljard USD,4.1,86 %,94 %,4.3,3.7,4.0,4.0,3.6,3.8,,,232,https://nl.glassdoor.be/Reviews/BASF-Reviews-E4231.htm,https://nl.glassdoor.be/Benefits/BASF-Benefits-E4231.htm
Toqua,Data Scientist,Gent,België (Dutch),"Do you want to build an innovative product with a positive climate impact?
Then Toqua is the right place for you.
Toqua is a fast-growing, award-winning AI start-up based in Ghent, Belgium.
We reduce emissions at a global scale, by bringing the fuel-saving potential of Machine Learning to shipping. Our goal is to deliver cutting-edge Machine Learning to the whole industry through APIs, accelerating the decarbonization of shipping.
Toqua consists of a young & dynamic team that values ideas over hierarchy.
We’re convinced work should be a place of permanent learning that lifts up yourself and those around you. Most importantly, we believe job satisfaction comes from working on something you care about.
Job Description",€ 36K - € 96K (Schatting werkgever),€,,,,,,,,,,,,,,,,232,,
"Ex Libris
4.0",Data Scientist (remote) - Search & Analytics,Antwerpen,België (Dutch),"We are looking for a Data Scientist to join our Search and Analytics team. Search and Analytics is a central technology team at Clarivate that develops best in class algorithmic services and search platforms for our products to enable differentiated capabilities. We take pride in innovating on behalf of our customers and delivering value to the business.
As a Data scientist you will be part of driven group doing applied research work and identifying ML methods that could be used to solve the different problems faced by our business units and implement the solutions which will help optimize the systems and help the company to innovate.
Location: This position can be based in US, Canada or EU countries where we operate
About You – experience, education, skills, and accomplishments
Bachelor's degree in Computer Science, Statistics, Technology, or Engineering, strongly preferred, or equivalent work experience.
Minimum 3-5 years proven track record in the application of ML and NLP",€ 36K - € 96K (Schatting werkgever),,1 tot 50 werknemers,IT,1-5 miljoen USD,,3.9,75 %,92 %,,3.5,2.9,3.9,3.7,4.0,,,232,,
"AMA European Consulting
5.0",Data Scientist,Sint-Gillis,België (Dutch),"Strong interpersonal skills required
Data Science & programming: Python, R, SQL, SAS, Java or similar
Data Visualization & Reporting: Tableau, Power BI, Qlik or similar
Data Manipulation & Analytics: Alteryx, KNIME, RapidMiner or similar
Data Warehousing: SQL Server, Snowflake, Azure, AWS Redshift, Google Big Query, SAP or similar
Data Integration: Databricks, Talend, SSIS, Pentaho, Informatica or similar
Job Types: Full-time, Freelance
Schedule:",€ 36K - € 96K (Schatting werkgever),,Onbekend,,,,5.0,100 %,N/A,,5.0,4.0,5.0,4.0,4.0,,,232,,
"KPMG
4.1",Data Scientist,Zaventem,België (Dutch),"Advisory - Advisor
Location
Zaventem HQ
Roles & Responsibilities

In a world where stakeholders are consistently expected to provide more diverse digital experiences, data scientists are continuously challenged – to work is to grow. The KPMG Lighthouse is currently looking for talents in the field of data science, people who are able to exploit data to create smart digital solutions, but who are also able to inspire about the art of the possible. The tasks of a data scientist are diverse, and we are not looking for the unicorn data scientist, but a mindset focused on learning on the job is vital!",€ 36K - € 96K (Schatting werkgever),,1001 tot 5000 werknemers,Management en consulting,25-100 miljoen USD,,4.0,82 %,91 %,,4.2,3.6,4.1,3.8,3.3,,,232,,
"Dedalus SA
3.5",Data Scientist,Gent,België (Dutch),"Fondée à Florence (Italie) en 1982, Dedalus est le principal fournisseur de logiciels de santé et de diagnostic en Europe et l'un des plus importants au monde. La structure de l'actionnariat assure stabilité et grande capacité financière grâce à la présence d'Ardian, la plus grande société d'investissement privée en Europe et la quatrième dans le monde. Dedalus Group aide à la transformation numérique de 6 100 hôpitaux et 5 300 laboratoires dans le monde, en prenant en charge la gestion des soins de plus de 330 millions de patients. Nous employons plus de 6 000 personnes dont plus de 2 000 représentent la plus grande équipe de logiciels de R&D du secteur en Europe. Nous sommes présents dans plus de 40 pays différents à travers le monde, offrant une opportunité unique de travailler dans un environnement multiculturel et très dynamique.

Data Scientist",€ 36K - € 96K (Schatting werkgever),,1001 tot 5000 werknemers,Software development,IT,Onbekend/niet van toepassing,3.5,63 %,85 %,,3.0,3.1,3.3,3.3,3.7,,,232,https://nl.glassdoor.be/Reviews/Dedalus-Reviews-E1142991.htm,
"Clarivate
3.5",Data Scientist (remote) - Search & Analytics,Antwerpen,België (Dutch),"We are looking for a Data Scientist to join our Search and Analytics team. Search and Analytics is a central technology team at Clarivate that develops best in class algorithmic services and search platforms for our products to enable differentiated capabilities. We take pride in innovating on behalf of our customers and delivering value to the business.
As a Data scientist you will be part of driven group doing applied research work and identifying ML methods that could be used to solve the different problems faced by our business units and implement the solutions which will help optimize the systems and help the company to innovate.
Location: This position can be based in US, Canada or EU countries where we operate
About You – experience, education, skills, and accomplishments
Bachelor's degree in Computer Science, Statistics, Technology, or Engineering, strongly preferred, or equivalent work experience.
Minimum 3-5 years proven track record in the application of ML and NLP",€ 36K - € 96K (Schatting werkgever),,10000+ werknemers,IT-ondersteuning,IT,$1 tot $5 miljard (USD),3.5,67 %,71 %,4.5,3.2,3.5,3.5,3.1,3.8,,,232,https://nl.glassdoor.be/Reviews/Clarivate-Reviews-E1556432.htm,https://nl.glassdoor.be/Benefits/Clarivate-Benefits-E1556432.htm
"TechWolf BV
4.9",Data Scientist,Gent,België (Dutch),"TechWolf empowers people to thrive at work. Every day, hundreds of people use our AI-driven Skills Intelligence to identify people’s skills and to better connect employees with projects, learning opportunities and career moves.

All of this begins with our team. We’re committed to our work, having fun, bringing a disruptive product into the world and most importantly to each other’s success.

A large part of the value we deliver originates from the diverse and complex customer data we work with, and we’re looking for a Data Scientist to join our customer-focused engineering team. In this role, you will dig deep into enterprise datasets, will build scalable approaches to derive valuable insights and will take part in the Working closely with the Product and Customer Solutions team, you can impact both projects for specific customers and product development tracks affecting our entire customer base.",€ 36K - € 96K (Schatting werkgever),,1 tot 50 werknemers,Ondernemingssoftware en netwerkoplossingen,IT,Onbekend/niet van toepassing,4.9,100 %,N/A,,4.9,4.9,5.0,5.0,4.2,,,232,https://nl.glassdoor.be/Reviews/TechWolf-Reviews-E6153911.htm,
"Dedalus SA
3.5",NLP Data Scientist,Gent,België (Dutch),"Vous souhaitez donner du sens à votre métier ?
Vous voulez contribuer à l'amélioration de nos soins de santé ?
Alors rejoignez notre équipe!
Role Summary
As a NLP Data Scientist, you will be part of our team that is developing clinical analytics solutions that are integrated into hospital information systems.
You will be contributing to “clinalytix” - the AI solution for the prediction of undesired events in medical treatments as well as our internal NLP services.
You will help develop our machine learning (ML) and natural language processing (NLP) framework.
Key Accountabilities
As an NLP Data Scientist you are responsible for:
Analyzing, interpreting, and (automate) labeling large amounts of clinical data (structured and unstructured data, physician notes, nurse notes) and presenting findings in a clear and consistent manner to your team members.",€ 36K - € 96K (Schatting werkgever),,1001 tot 5000 werknemers,Software development,IT,Onbekend/niet van toepassing,3.5,63 %,85 %,,3.0,3.1,3.3,3.3,3.7,,,232,https://nl.glassdoor.be/Reviews/Dedalus-Reviews-E1142991.htm,
"AppTweak
4.8",Junior Data Scientist,België,België (Dutch),"We are looking for a passionate Junior Data Scientist, with or without experience, to join our second-stage rocket ship!

As a data scientist, you are at the origin of our next product features. You’ll join an R&D team of data scientists who work hand-in-hand with the Product team, developers, and ASO Experts to build machine learning and statistical algorithms that empower our software. Our projects cover most of the standard spectrum of data science from classifiers and regressors on tabular data, to natural language processing, outliers detection in time series, or even computer vision. Our sector moves fast, and so do we: we remain on the cutting edge. These new features will be used by over 1500 customers worldwide, including mobile leaders like Paypal, Warner Bros, Expedia, Electronic Arts, etc.

You’ll join an R&D team of 4 data scientists, you report to our head of Data Science and weekly sync with the CEO, CTO and CPO.",€ 36K - € 96K (Schatting werkgever),,51 tot 200 werknemers,Internet- en webservices,IT,5-25 miljoen USD,4.8,89 %,100 %,4.0,4.0,3.7,4.9,4.5,4.3,,,232,,https://nl.glassdoor.be/Benefits/AppTweak-Benefits-E2955944.htm
CIRB,Data Scientist,Brussel,België (Dutch),"Le Centre d’Informatique pour la Région Bruxelloise (CIRB) est le leader de la transition numérique à Bruxelles. Nous accompagnons nos clients – les institutions publiques bruxelloises – dans leur parcours digital.
Ainsi, pour offrir aux Bruxellois une Région durable, ouverte sur le monde et à l’économie dynamique, nous mutualisons des technologies de pointe en matière d’infrastructures, de plateformes et de services ICT.
Nos collaborateurs constituent notre première ressource pour relever ces défis.
Plus de 550 collègues enthousiastes vous attendent au CIRB, au cœur même de Bruxelles. La satisfaction de nos clients est au centre de nos préoccupations. Être orienté solutions est notre mantra. Qui va de pair avec le plaisir de travailler en équipe et notre attachement à équilibrer vie professionnelle et vie privée.
Envie de rejoindre une organisation où la connectivité se vit en mode numérique et social ? Envoyez-nous votre candidature dès maintenant !",€ 36K - € 96K (Schatting werkgever),,Onbekend,,,,,,,,,,,,,,,232,,
"GfK
3.5",Junior Data Analyst,Leuven,België (Dutch),"For over 80 years, GfK has been a reliable and trusted insight partner for the world’s biggest companies and leading brands who make a difference in every consumer’s life - and we will continue to build on this. We connect data, science and innovative digital research solutions to provide answers for key business questions around consumers, markets, brands and media. With our headquarters in Germany and a presence in around 60 countries worldwide, you benefit from our global company with a diverse community of ~9,000 employees.
Harnessing the power of our workforce, the greatest asset we have is our people. As part of GfK, you can take your future into your own hands. We value talent, skills and responsibility and support your development within our international teams. We are proud of our heritage and our future: Currently we are in the latter stages of a transformational journey from a traditional market research company to a trusted provider of prescriptive data analytics powered by innovative technology. This is only possible with extraordinary people and this is why we are looking for YOU to help create our future. For our employees as well as for our clients we pursue one goal: Growth from Knowledge!",€ 36K - € 96K (Schatting werkgever),€,5001 tot 10000 werknemers,Business consulting,Management en consulting,$1 tot $5 miljard (USD),3.5,60 %,59 %,4.5,3.0,3.0,3.6,3.2,3.6,,,232,https://nl.glassdoor.be/Reviews/GfK-Reviews-E12882.htm,https://nl.glassdoor.be/Benefits/GfK-Benefits-E12882.htm
"OTA Insight
4.7",Data Scientist,Gent,België (Dutch),"2022 will be a big year here at OTA Insight as we recently had the pleasure of announcing a new series B funding of 80 million which will fuel our investment in product innovation! To accomplish our ambitions plans we are growing our innovation teams significantly where our Data Science team plays a crucial part in. Ready to have a big impact in an ambitious scale-up? Read along!

OTA Insight is a scale-up within the hotel industry. Founded in 2012, with a vision to provide user friendly tools to hoteliers. Today we are considered the global leader in hotel BI and are working with 55,000+ hotels worldwide in 185+ countries. As there are more than 1 million hotels worldwide, we are still filled with ambition to grow further. We generate value to our customers by visualising actionable insights out of our vast datasets. Our tools help hotels to analyse their competition’s room pricing, analyse their hotel revenue, and find out where and when guests are looking and booking. Our products have a profound impact on the day to day activities of our customers, taking away guesswork and simplifying their routines.",€ 36K - € 96K (Schatting werkgever),,201 tot 500 werknemers,Ondernemingssoftware en netwerkoplossingen,IT,Onbekend/niet van toepassing,4.7,94 %,100 %,4.0,4.4,4.4,4.8,4.7,4.5,,,232,https://nl.glassdoor.be/Reviews/OTA-Insight-Reviews-E2083980.htm,https://nl.glassdoor.be/Benefits/OTA-Insight-Benefits-E2083980.htm
Raccoons,Data Scientist,België,België (Dutch),"Transforming complex data by using algorithms and models to create client-oriented solutions. That is the core of your challenge! You'll actively contribute to the improvement of client solutions, business models, and operational processes by automatically translating data into reliable information, that is where you'll create an immediate impact. With your broad expertise, you'll know exactly what the client needs, often without them realizing it themselves.

Are you an experienced Data Scientist and are you passionate about developing algorithms and data models? Then we'd love to have a chat with you!

You want to",€ 36K - € 96K (Schatting werkgever),,Onbekend,,,,,,,,,,,,,,,232,,
"Crunch Analytics
5.0",Data Scientist (BE),Gent,België (Dutch),"Eager to work on data-centric projects that apply the latest data science, machine learning & AI techniques? Do you love to help a client discover the value hidden in data and craft solutions that augment his human decision-making or even automate such decision-making?

At Crunch Analytics, we help EU retail and e-commerce teams at Beerwulf, G-Star, Unilin, Roompot, or others to embrace big data & AI techniques. We introduce AI-driven solutions (advanced analytics) that fundamentally change how these organizations create value.

As a Data Scientist, you become a key player in one of our Data & AI Teams, working shoulder to shoulder with Cloud Engineers, Data Analysts, and Project Owners. You will apply math, statistics, and machine learning algorithms to discover patterns in datasets. In a next step, you will especially translate these patterns into actionable insights, help create vivid dashboards, present concluding findings, and help clients understand the significance of these results in their business context.",€ 36K - € 96K (Schatting werkgever),,Onbekend,,,,5.0,100 %,N/A,,5.0,5.0,5.0,5.0,5.0,,,232,,
"KBC
3.8",Data Scientist (NL/ENG),België,België (Dutch),"Contract
Permanent
Work schedule
Full-time
Location
Flemish Brabant
Experience level",€ 36K - € 96K (Schatting werkgever),,10000+ werknemers,Banken en kredietverstrekking,Finance,5-10 miljard USD,3.8,78 %,90 %,4.2,3.4,3.6,3.7,3.4,3.8,,,232,,https://nl.glassdoor.be/Benefits/KBC-Benefits-E10308.htm
"Procter & Gamble
4.1",Data Scientist for Supply Chain,Brussel,België (Dutch),"Do you have passion for technology and desire to learn and grow continuously? Do you want to belong to one of the most advanced Data Science & Analytics group in the industry, developing sophisticated mathematical models and algorithms and applying Operations Research techniques?
Then join P&G as a Data Scientist for Supply Chain! Through your career, you will build your Data Science and Analytics skills, develop your ability to influence and think strategically and learn how to work across domains and functions to make P&G’s supply chain more performant, more resilient and more sustainable.
YOUR CONTRIBUTION TO P&G’S SUCCESS:
Influence decisions from daily through to strategic ones, made across functions, at all levels of leadership, to have a meaningful impact on the performance, resiliency and environmental footprint of one of the largest CPG companies in the world.",€ 36K - € 96K (Schatting werkgever),,10000+ werknemers,Productie van consumentenproducten (non-food),Industrie,Meer dan 10 miljard USD,4.1,85 %,88 %,4.2,4.0,4.1,4.2,3.8,3.4,,,232,https://nl.glassdoor.be/Reviews/Procter-and-Gamble-Reviews-E544.htm,https://nl.glassdoor.be/Benefits/Procter-and-Gamble-Benefits-E544.htm
"Devoteam Belgium
4.0",Data Scientist,Zaventem,België (Dutch),"Company Description

Devoteam, 7200 colleagues in 18 countries, is a Digital Transformaker specialized in 7 digital offers:
Transformation Management
Agile IT
Digital Workplace
CyberSecurity
Data as a service
Business Process Excellence
Customer Experience",€ 36K - € 96K (Schatting werkgever),,5001 tot 10000 werknemers,IT-ondersteuning,IT,$ 500 miljoen - $ 1 miljard (USD),4.0,81 %,85 %,4.1,3.8,3.4,4.0,3.8,3.9,,,232,https://nl.glassdoor.be/Reviews/Devoteam-Reviews-E12966.htm,https://nl.glassdoor.be/Benefits/Devoteam-Benefits-E12966.htm
"VITO
4.3",R&D data scientist AI for recycling,Mol,België (Dutch),"The Waste Recycling Technologies (team of VITO is looking for a creative and motivated researcher to develop breakthrough technologies in the waste processing industry, using artificial intelligence (AI).
Automated quantitative characterization and sorting of waste materials (metal scrap, batteries, WEEE, MSWI-bottom ashes) is a key requirement for the transition towards a circular economy with increased resource efficiency. To this end, VITO’s team has developed an industrial prototype, named Characterise-to-Sort, able to capture dual energy x-ray transmission, RGB and 3D image data in an online fashion by scanning the materials on a moving conveyor belt. The team is expanding to speed up development and implementation of this technology.
Further development of this technology towards industrial implementation requires research in the field of:
Designing, training, testing and deploying state-of-the-art machine learning models for various clients in the waste recycling industry",€ 36K - € 96K (Schatting werkgever),,501 tot 1000 werknemers,Research en development,Management en consulting,100-500 miljoen USD,4.3,98 %,92 %,3.8,3.9,4.4,4.3,3.5,4.4,,,232,https://nl.glassdoor.be/Reviews/VITO-Reviews-E740924.htm,https://nl.glassdoor.be/Benefits/VITO-Benefits-E740924.htm
"Acensi SAS
3.4",Senior Data Scientist (F/M/X),Brussel,België (Dutch),"Description de l'offre
Objectives of the job
The Data Intelligence team ensures that the different teams get the right information from the company's data (via reports, dashboards, data analysis and predictive models). In this role, you will work on various projects involving computer vision, process mining, IOT data and text mining. You will help your colleagues to develop their analytical skills. Finally, you will be the team's point of contact on technology and data tools (such as Azure, Databricks, PBI, ...).
Your tasks will be :
You support the collection of data",€ 36K - € 96K (Schatting werkgever),,1001 tot 5000 werknemers,Business consulting,Management en consulting,1-5 miljoen USD,3.5,56 %,83 %,,3.0,2.9,3.5,3.3,3.5,,,232,https://nl.glassdoor.be/Reviews/ACENSI-Reviews-E749044.htm,
"Radisson Hotel Group - Corporate Office - Revenue Management
3.8",RevGen BI Data Analyst Trainee,Brussel,België (Dutch),"RevGen BI – Data Analytics traineeship
Are you passionate by SQL, Data Models and Segmentation Techniques? Trilled by never having a dull moment? Come and join the Pulse team!
Pulse by RHG is a home-made Radisson Hotel Group solution, like a start-up within the Company, to reshape the future of Business Intelligence, with a two-fold mission: on one hand, cross-referencing all Commercial data-point in one solution to take faster business decisions and maximize revenues and profitability; on the other, replace existing third-parties application using RHG data to optimize costs and provide better functionalities.

We are looking for a trainee who will be assisting in the development and implementation of the Revenue Management BI Platform and in providing the right information at the right time to the right people so that they can make the right decisions to drive revenue! Or more simply evolve from looking at data to information that makes you think and motivates you to do something. The Revenue Management BI Platform is developed within the parameters of the Radisson Hotel Group RevGen BI strategy. As data analyst you will assist the Pulse team

INDHOTEL",€ 36K - € 96K (Schatting werkgever),,1001 tot 5000 werknemers,Hotels en vakantieparken,Hotels en toerisme,5-10 miljard USD,3.8,53 %,72 %,3.3,3.1,3.4,3.4,3.0,3.7,,,232,https://nl.glassdoor.be/Reviews/Radisson-Hotels-Americas-Reviews-E594276.htm,https://nl.glassdoor.be/Benefits/Radisson-Hotels-Americas-Benefits-E594276.htm
"Waterleau
3.4",Data Scientist,Wespelaar,België (Dutch),"Waterleau is a global and leading water Technology Company committed to protect the eco-system. As a growing company, Waterleau is always looking for enthusiastic professionals who want to work in an environment full of revolutionary technology.
You like to join this enthusiastic team as a Data Scientist because you
like to be a gold digger, searching loads of data for that precious piece of insightfulness?
Are dedicated to delivering insights to the organization that makes a difference
Are eager to build structures in the data landscape
Further, you will collaborate closely with engineers and product development teams, to optimize the data management which means in your daily activities:",€ 36K - € 96K (Schatting werkgever),,Onbekend,25-100 miljoen USD,,,3.4,59 %,72 %,5.0,2.3,2.9,3.3,2.6,3.0,,,232,https://nl.glassdoor.be/Reviews/Waterleau-Group-Reviews-E1065683.htm,https://nl.glassdoor.be/Benefits/Waterleau-Group-Benefits-E1065683.htm
"Instaon
5.0",Data Scientist (Machine Learning),Brussel,België (Dutch),"We are looking for a Digital Marketing Consultant in online marketing with an entrepreneurial mindset to join our growing startup in Brussels. If you like challenges, creativity and are result-driven, then read on!

About us

At Shown, we optimize online advertising through Experts & Technology. We are a digital startup founded by former Google employees, software developers and data scientists. We work directly with the Google office in Brussels to develop impactful tools helping agencies & SMB’s around the world. Automation, technology and high performance consultancy services are helping our customers to achieve online visibility in a smart and transparent way.",€ 36K - € 96K (Schatting werkgever),,1 tot 50 werknemers,Internet- en webservices,IT,1-5 miljoen USD,5.0,100 %,N/A,,5.0,4.0,5.0,5.0,5.0,,,232,,
Profectus IT,Data scientist,Overijse,België (Dutch),"Permanent
Bachelor
4-year exp.
Up to 55 K€
Description
For one of our clients, we are looking for a Data Scientist to start ASAP. We offer a very competitive package, and flexible work time. Please do not hesitate to send us your CV is you are interested.
Role
Build and maintain data warehouse.
Configure extraction and transformation tools in order to process the data in the most relevant way",€ 36K - € 96K (Schatting werkgever),,Onbekend,,,,,,,,,,,,,,,232,,
"Acensi
3.4",Senior Data Scientist (F/M/X),Brussel,België (Dutch),"Description de l'offre
Objectives of the job
The Data Intelligence team ensures that the different teams get the right information from the company's data (via reports, dashboards, data analysis and predictive models). In this role, you will work on various projects involving computer vision, process mining, IOT data and text mining. You will help your colleagues to develop their analytical skills. Finally, you will be the team's point of contact on technology and data tools (such as Azure, Databricks, PBI, ...).
Your tasks will be :
You support the collection of data",€ 36K - € 96K (Schatting werkgever),,1001 tot 5000 werknemers,Business consulting,Management en consulting,1-5 miljoen USD,3.5,56 %,83 %,,3.0,2.9,3.5,3.3,3.5,,,232,https://nl.glassdoor.be/Reviews/ACENSI-Reviews-E749044.htm,
"Luminus
4.0",Generation Data Scientist – AI/ML expert,Seraing,België (Dutch),"Mission
Striving for operational excellence through continuous improvement of existing processes and implementation of new, innovative techniques are one of the core pillars of the Generation department. It goes without saying that power plant data plays a central role in our organization.
We are looking for a dynamic, motivated and energetic colleague who is passioned by Artificial intelligence and machine learning to support Generation by developing and optimizing tools (algorithms, monitoring- and reporting tools) and to maintain the quality of the data. You will be working closely with Generation experts to develop value generating algorithms in order to improve performances (reliability, availability, efficiency, output) of our production assets and to roll-out these digital tools. You work closely together with technical key players in the generation department and with the IT department.
Tasks, responsibilities",€ 36K - € 96K (Schatting werkgever),,1001 tot 5000 werknemers,"Energie, mijnbouw, afval en water",Onbekend/niet van toepassing,,4.0,80 %,N/A,4.5,3.5,3.7,3.8,3.5,4.0,,,232,,https://nl.glassdoor.be/Benefits/Luminus-Benefits-E1673549.htm
EVERTYS,Data Scientist,Brussel,België (Dutch),"EVERTYS is a young and dynamic consulting firm located in Brussels, Belgium. Our core business is delivering top level advisory services towards the banking, retail, Energy and entertainment industry.
Our activities are mainly focused in different sectors dealing with marketing and communication, digital and operational activities.
We are looking for an enthusiast Data Scientist passionate about Data Management.

Responsibilities
Translate business requirements into robust technical solutions.",€ 36K - € 96K (Schatting werkgever),,Onbekend,,,,,,,,,,,,,,,232,,
"Gentis Recruitment
4.2",Data scientist,Brussel,België (Dutch),"We're actively looking for a data scientist ready for his next challenge based in Brussels ! You will be joining a data scientist team and together you will have the opportunity to shape the future of the company ! They will also offer you hybrid working which will bring you more comfort and a better balance between your private and professional life.
Responsabilities :
You will be working individually and in teams in internal interesting projects
You will translate concepts into metrics, algorithms and business needs into solutions
You will act as business associate and deliver actionable insights with other business units
You will also have the opportunity to do some exploration and research for internal projects and initiatives and suggestions are vividly encouraged.",€ 36K - € 96K (Schatting werkgever),,51 tot 200 werknemers,,,,4.2,70 %,N/A,3.2,4.1,4.0,4.0,4.0,3.3,,,232,https://nl.glassdoor.be/Reviews/Gentis-Recruitment-Reviews-E1507798.htm,https://nl.glassdoor.be/Benefits/Gentis-Recruitment-Benefits-E1507798.htm
N Consulting Ltd,Data Science - Python,Brussel,België (Dutch),"Location: Brussels, Belgium
Start Date: Immediate
Insurance knowledge
Knowledge
Is a benefit in the execution of the job
Languages
Dutch
Very good knowledge, both speaking and writing",€ 36K - € 96K (Schatting werkgever),€,1 tot 50 werknemers,IT-ondersteuning,IT,1-5 miljoen USD,,,,,,,,,,,,232,,
"RMB
3.4",Data Analyst,Etterbeek,België (Dutch),"Bedrijfsomschrijving

RMB est la 2e plus grande régie publicitaire du sud du pays.
RMB commercialise, auprès des annonceurs et des agences média, les espaces vidéo, audio et digitaux d’un éventail de marques complémentaires : chaînes TV, chaînes radio, sites ou plateformes digitales de la RTBF, de NRJ, de Mediawan (AB3 & ABXPLORE), de LN24 et de DH Radio. RMB gère également l’inventaire vidéo des sites d’IPM Advertising et de Sellbranch. RMB propose des solutions publicitaires différenciées au travers de la grande diversité des marque représentées, ainsi que des projets créatifs via son équipe F.L.A.S.H. et des offres « data » via son équipe VIBE.
Nos valeurs d’entreprise sont : innover, conquérir, inspirer et s’engager.
Functieomschrijving",€ 36K - € 96K (Schatting werkgever),,51 tot 200 werknemers,,,,3.4,44 %,100 %,,2.8,3.2,3.0,2.9,3.3,,,232,,
"KPMG
4.1",Manager Data Scientist,Zaventem,België (Dutch),"Advisory - Manager
Location
Zaventem HQ
Roles & Responsibilities
In a world where stakeholders are consistently expected to provide more diverse digital experiences, data scientists are continuously challenged – to work is to grow. The KPMG Lighthouse is currently looking for talents in the field of data science, people who are able to exploit data to create smart digital solutions, but who are also able to inspire about the art of the possible.
What is the job about?",,,1001 tot 5000 werknemers,Management en consulting,25-100 miljoen USD,,4.0,82 %,91 %,,4.2,3.6,4.1,3.8,3.3,,,232,,
"AKKA TECHNOLOGIES
3.1",Data Scientist,België,België (Dutch),"Our Team :
Research & Development (R&D) is responsible for development of attractive & competitive quality cars matching European customer requirements.
The target is to develop solutions which can be implemented in the power-train system to reduce fuel consumption, cost, weight and the car's performance supporting

The MBD (Model Based Design) team is part of the Powertrain Engineering group, and try to integrate new methodology into our design, calibration and evaluation. In this activity, the target is to apply AI/Big data/ RPA (Robotic Process Automation) for development in order to improve efficiency.
In parallel to modelling, data analysis of test results & comparison with simulation is necessary to improve the method accuracy.",,,10000+ werknemers,Research en development,Management en consulting,$1 tot $5 miljard (USD),3.1,55 %,57 %,3.7,2.9,2.7,2.9,2.8,3.4,,,232,,https://nl.glassdoor.be/Benefits/AKKA-Technologies-Benefits-E152846.htm
"Accenture
4.1",Manufacturing & Supply Chain Data Scientist,Brussel,België (Dutch),"Are you willing to make a step in your career and deliver AI solutions from early discovery stages up to industrialized solutions as part of large transformation projects? Are you willing to re-imagine the future of the industry, and the next generation of production process or supply chain control solutions? If this is the case, this role will be of interest to you!
Your job
You are part of a team of a multi-disciplinary team and contribute to delivery excellence across client engagements:
Interact with client and Accenture functional and industry consultants to identify the Data science requirements and solutions to solve industrial problems or challenges
Drive the extraction, wrangling and enrichment of data from one or multiple sources, online or offline.",,,10000+ werknemers,Business consulting,Management en consulting,Meer dan 10 miljard USD,4.1,86 %,93 %,3.9,4.0,3.7,4.1,3.7,3.6,,,232,https://nl.glassdoor.be/Reviews/Accenture-Reviews-E4138.htm,https://nl.glassdoor.be/Benefits/Accenture-Benefits-E4138.htm
"CIBG
3.7",Data Scientist,Brussel,België (Dutch),"Het Centrum voor Informatica voor het Brusselse Gewest (CIBG) is de koploper voor de digitalisering in Brussel. We loodsen onze klanten – de Brusselse openbare instellingen – langs de uitdagingen van het digitale tijdperk.
We werken permanent mee aan een duurzame, sociaal verantwoorde en dynamische economische omgeving, voor alle Brusselaars. Een gewest dat steunt op het bundelen van hoogtechnologische infrastructuren, ICT-platformen en ICT-diensten.
Maar onze belangrijkste resource blijft menselijk kapitaal.
Ons team bestaat uit meer dan 550 enthousiaste medewerkers met wie je zal samenwerken in hartje Brussel.
Bij het CIBG dragen we klanttevredenheid hoog in het vaandel, dus oplossingsgericht werken is ons mantra. Daarnaast hechten we veel waarde aan fijn teamwork en een correcte werk-privébalans, want je goed voelen, werkt beter.",,,201 tot 500 werknemers,IT-ondersteuning,IT,Onbekend/niet van toepassing,3.7,69 %,43 %,4.3,3.3,3.7,3.2,2.9,4.1,,,232,https://nl.glassdoor.be/Reviews/CIRB-CIBG-Reviews-E564333.htm,https://nl.glassdoor.be/Benefits/CIRB-CIBG-Benefits-E564333.htm
